h,tau,ci_lo,ci_hi,p,sig
30,0.007249622435278307,-0.024099744134238852,0.03859898900479547,0.6503650672919536,False
35,0.005444891422585099,-0.024397870633759363,0.035287653478929565,0.7206372740911282,False
40,0.004598877680914652,-0.023815685132902636,0.03301344049473194,0.7510731334645953,False
45,0.00460570514375544,-0.022604530356649253,0.03181594064416013,0.740072867512561,False
50,0.0059210513259846526,-0.020186032851252127,0.032028135503221436,0.6566628088905035,False
55,0.0037114921204968315,-0.02137821108731091,0.028801195328304573,0.771861651626436,False
60,0.002829592502332494,-0.021478174161520203,0.02713735916618519,0.8195237351665281,False
65,0.0029237553919986073,-0.020713307169158177,0.026560817953155392,0.808439534178776,False
70,0.0037155601448511655,-0.019288233921473164,0.026719354211175494,0.7515637399906248,False
75,0.004769155913230329,-0.017544906427821284,0.027083218254281942,0.675283161777342,False
80,0.00548523577874746,-0.016168884270912464,0.027139355828407385,0.6195484783324008,False
85,0.005787434176561239,-0.015288910548909095,0.026863778902031572,0.5904362859969803,False
90,0.006197674284691722,-0.014353143098192443,0.026748491667575886,0.5544581978879912,False
95,0.007398475036815365,-0.012677341494610882,0.02747429156824161,0.47010243543018193,False
100,0.00855621625988165,-0.011107445676059126,0.028219878195822425,0.39374165206562717,False
105,0.009762617873611212,-0.009518760082064145,0.02904399582928657,0.321005181663915,False
110,0.010587066909795346,-0.008335363164281438,0.02950949698387213,0.27280902292327847,False
115,0.011372822502934993,-0.0072055914997709615,0.02995123650564095,0.23020968534295783,False
120,0.012036848884793384,-0.006231561795562283,0.03030525956514905,0.19655745515730683,False
125,0.012521914245852729,-0.005465172646751348,0.030509001138456806,0.17241774067527138,False
130,0.012774362079863297,-0.004930569572488965,0.03047929373221556,0.15731254982943277,False
135,0.012970739375060724,-0.004461815736532843,0.03040329448665429,0.14474595301180537,False
140,0.013097412787550368,-0.0040745594095291625,0.0302693849846299,0.13493221530888966,False
145,0.013104646600248845,-0.003829745428130995,0.030039038628628684,0.1293317805749039,False
150,0.013127021418425353,-0.0035900627821155336,0.02984410561896624,0.12378429931850388,False
155,0.013064299087408374,-0.0034469401726010297,0.029575538347417777,0.1209438660280715,False
160,0.013156205554547693,-0.0031473838560689867,0.029459794965164373,0.11373522738824393,False
165,0.013407446514368423,-0.002676030224147641,0.029490923252884486,0.10228242829779699,False
170,0.013793627332775196,-0.0020885049573333495,0.02967575962288374,0.088706745096645,False
175,0.014259062273380294,-0.0014386724941907736,0.02995679704095136,0.07501557385965096,False
180,0.01473862574797901,-0.0007781030444053427,0.030255354540363363,0.06264345741936395,False
